;text;option_1;option_2;option_3;option_4;N;Type;Order;Keywords
q83480;Which pubic hair style do you prefer for a partner?;Natural.;Neatly trimmed.;Completely shaven.;It doesn't matter.;30719;M;[4];preference
q83507;While evaluating someone you are dating, do you find yourself placing much importance on how good of a parent you think they'll make?;Yes.;No.;Just a little.;;6029;O;2, 3, 1;descriptive
q83547;How important is it to you that a potential partner continues to educate himself/herself as an adult?;Very important.;Somewhat important.;Not at all important.;Actually, this would be a turn-off.;20441;O;;preference
q83646;Would you consider living with a partner who does not want any pets?;Yes.;No.;;;32223;O;;descriptive
q83655;If a method were available that would cause the extinction of all mosquitoes on Earth, should it be used?;Yes.;No.;;;5230;O;;opinion
q83656;If everyone on Earth stopped drinking alcohol, would this make the world a better place?;Yes.;No.;I'm not sure.;;2672;O;2, 3, 1;opinion
q83660;Do you like the idea of living alone?;Yes.;No.;;;6210;O;;preference
q83672;If you were forced to choose between saving the life of a beloved household pet or saving the life of a human stranger, which would you save?;My pet.;The stranger.;I'd let them both die before choosing.;;4946;N;;"preference; descriptive"
q83677;Have you ever lead someone on romantically just for fun?;Yes.;No.;;;16540;O;;descriptive
q83730;Do you know how to swim?;Yes;No;I am a swimmer;;1526;O;2, 3, 1;descriptive
q83808;Would you ever consider a relationship where you would take on an exclusive sexual role as master or slave?;Yes, as the master only.;Yes, as the slave only.;Yes, as the master or the slave.;No.;16307;M;2, 3, 1, [4];"sex/intimacy; BDSM"
q83811;Would you prefer to be taken care of in a relationship or do the caring for?;I prefer to be the one taking care of my partner.;I prefer that my partner take care of me.;I prefer that we take care of each other.;I prefer that we care for ourselves.;8105;M;2, 3, 1, [4];preference
q83841;Do you enjoy taking pictures of yourself?;Yes.;No.;I'm not sure.;;11544;O;2, 3, 1;descriptive
q83869;You have plans to go on a special getaway with your partner tomorrow. Your boss has just told you that a client is very upset and requests that you fly across the country to see him/her tomorrow. What would you do?;See the client;Tell my boss 'no';Negotiate - get boss to pay for a better getaway;Leave it up to my parter, putting the onus on them;2232;M;2, 3, 1, [4];descriptive
q83903;Do you believe that it is your duty to educate people who don't share your religious beliefs?;Yes.;No.;;;5514;O;;religion/superstition
q83910;Do wild places such as mountains, rivers and forests call out to you?;Yes.;No.;;;17854;O;;descriptive
q83998;Imagine you discover that your 'happily married' best friend has a profile on a dating site, listing them as single and looking.  What would you do?;Inform his/her spouse.;Confront him/her privately.;Offer him/her support.;Nothing, it's none of my business.;5842;N;;descriptive
q84005;As an adult, have you ever worn a leash and collar in public?;Yes.;No.;;;17412;O;;"descriptive; BDSM"
q84023;Could you live the rest of your life without drinking alcohol?;Yes.;No.;;;24839;O;;descriptive
q84028;Which Olympic Games do you most prefer to watch?;Winter.;Summer.;Both equally.;Neither.;14639;M;2, 3, 1, [4];preference
q84036;Have you ever talked your way out of a traffic ticket?;Yes.;No.;;;10167;O;;descriptive
q84087;Is there a difference between telling the truth and not lying?;Yes.;No.;;;2308;O;;opinion
q84136;Would you have sex with someone who has very unusual physical features, just for the novelty of doing it with them?;Yes.;No.;Maybe, depending on what the unusual features are.;;4795;O;2, 3, 1;sex/intimacy
q84223;How important is it to you that your abdominal muscles be a visible six-pack, eight-pack, or some higher level of sculpting?;Very important.;Somewhat important.;Not at all important.;Hide them with fat, please.;3620;O;;descriptive
q84238;Your significant other wants to move every few years, to experience different parts of the country or world. What's your take on that?;My bags are packed, let's go.;Eh, as long as it's not too often I guess it's ok.;As long as we're not leaving the country.;I'd prefer to stay put.;7192;O;4, (2, 3), 1;"descriptive; preference"
q84252;If you met someone online and they told you that they were disabled, how would you react?;I'd make excuses and stop contact.;I'd consider them as a friend but not a partner.;I'd want to meet them and see how I feel.;It would make no difference.;3414;O;;descriptive
q84282;Which best characterizes your reaction upon finding out that a mate or potential mate is skilled at a computer programming language?;Positive.;Negative.;Neutral.;;3620;O;2, 3, 1;"preference; descriptive; technology"
q84289;Should drunk drivers who kill people in auto crashes face the death penalty?;Yes.;No.;;;7805;O;;"politics; opinion"
q84366;Suppose a close friend's partner is very attractive and thinks you're attractive, too. If you could enjoy a few hours of sex with them and your friend would never find out about it, would you do it?;Yes.;No.;Maybe.;;21912;O;2, 3, 1;sex/intimacy
q84407;Have you made special efforts to keep any favorite toys from your childhood?;Yes.;No.;;;9515;O;;descriptive
q84437;Have you ever intentionally left a book in a public place, hoping someone else would pick it up and read it?;Yes.;No.;;;9287;O;;descriptive
q84540;Are you a 'light' cigarette smoker - that is, you smoke between one and five cigarettes per day?;Yes, I only smoke cigarettes lightly/occasionally.;No, I smoke more than that!;No, I don't smoke cigarettes.;No, I don't smoke, and I don't see the difference.;382;O;2, 1, 3, 4;descriptive
q84611;Do you have a workout buddy?;Yes.;No, I prefer to exercise alone.;No, I exercise in groups (classes / team sports).;No, I'm not into working out.;12739;M;2, 1, 3, [4];descriptive
q84696;Have you ever had a 'full body' orgasm?;Yes.;No.;I'm not sure.;;15320;O;2, 3, 1;sex/intimacy
q84699;Would you consider dating someone who wants no sex for at least two years into a relationship because they were sexually assaulted or raped?;Yes.;No.;;;8328;O;;descriptive
q84748;Do you see a pattern in the type of people you usually end up in relationships with?;Yes.;No.;;;9944;O;;descriptive
q84910;Would it bother you if someone you are dating has a lot of close friends of the opposite sex?;Yes.;No.;;;24726;O;;descriptive
q84917;If you had children, would you be willing to support a significant other who stays home to raise them?;Yes.;No.;Maybe, depending upon the circumstances.;;3608;O;2, 3, 1;descriptive
q85003;Do you have a strong sense of self?;Yes, I am quite certain of who I am.;No, I'm still searching for my identity.;I'm on the verge of finding myself.;No, I have no clue who I am, I'm an empty shell.;3579;O;4, 2, 3, 1;descriptive
q85076;What portion of your friends are citizens of a country other than your own?;All or most.;Many.;One, two or a few.;None.;11086;O;;descriptive
q85115;Suppose someone has engaged in numerous sexual acts with other people, but has never had penetrative intercourse.  This person proclaims virgin status.  Would you find this stance hypocritical?;Yes.;No.;;;6771;O;;opinion
q85143;A billionaire falls in love with you and proposes marriage. You like them as a friend, but are neither in love nor attracted to them. Would you accept?;Definitely yes.;Probably yes.;Probably not.;Definitely not.;14767;O;;descriptive
q85158;Would you support a system that would allow people to be free to live and work in any country in the world regardless of their citizenship or nation of birth?;Yes.;No.;I'm not sure.;;2382;O;2, 3, 1;politics
q85159;In order to reduce crime, is it more effective to mandate harsher punishments or tackle the social and economic causes?;Mandate harsher punishments.;Tackle the causes.;;;4130;N;;"politics; opinion"
q85168;Would you be prepared to live without any health insurance whatsoever for two years, if it gave you the chance to go after a life-long dream (but no guarantee of reaching it)?;No. That would be highly irresponsible.;Probably not.;Probably yes.;Definitely yes.;2772;O;;descriptive
q85238;How often do you find yourself becoming annoyed because other people just don't seem to understand the obvious?;All of the time.;Frequently.;Once in a while.;Never.;20383;O;;descriptive
q85263;A company should be free to hire any worker it chooses.;Yes.;No.;;;2163;O;;politics
q85265;Should only those who pay taxes be allowed to vote?;Yes.;No.;Voting power should be proportional to taxes paid.;I'm not sure.;8360;M;2, 4, 1, [3];politics
q85272;'I need you' or 'I want you.'  Which would you prefer to hear a partner say?;I need you.;I want you.;;;14683;N;;"sex/intimacy; preference"
q85310;Have you ever driven a motor vehicle over 100mph (161kph)?;Yes.;No.;;;17078;O;;descriptive
q85315;Have you been faithful in all of your past relationships?;Yes.;No.;I haven't had a past relationship.;;25445;M;[3];descriptive
q85316;Did you read and understand OkCupid's 'How matching works' section?;Yes.;No.;I read it, but didn't really understand it.;;6834;M;[3];descriptive
q85319;How much do you trust the news media?;I believe almost everything.;I trust some sources more than others.;I think most sources have a hidden agenda.;It's all propaganda.;6685;O;;"opinion; descriptive"
q85327;Do you listen to podcasts?;Yes, frequently.;Yes, once in a while.;No.;;11537;O;;"descriptive; technology"
q85329;Imagine you're on a date with someone you really like and you decide to go to their place for the first time.  Their place turns out to be a pigsty. Your reaction?;Goodnight and goodbye.;Grin and bear it.;Dive in and start scrubbing.;I'd feel right at home.;4657;N;;descriptive
q85340;Imagine that you are on a bus looking out the window. You see someone running towards the stop desperately trying to catch the bus. The bus driver pulls away before the person gets there. Your reaction?;None, who cares?;Laugh.at the person.;That's too bad, they'll get the next one.;Ask the driver to stop for the person.;2537;N;;descriptive
q85344;Are you more concerned about possibility of being killed as a result of a terrorist attack or a traffic accident?;Terrorist attack.;Traffic accident.;Neither concerns me at all.;;3849;N;;"politics; descriptive"
